Gene_combination	cell_line	condition	Class_label_sum	Correlation_dep	Class_label_dep	Label_Agreement	Correlation_corr	Class_label_corr	Class_label_exp
SLC9A6_SLC9A7	A375	2CP	no GI	-0.0336467014317102	no GI	Agree	0.1667292031673798	no GI	GI
SLC9A6_SLC9A7	A375	2CP	no GI	-0.0336467014317102	no GI	Agree	0.1667292031673798	no GI	GI
SLFN11_SLFN13	A375	2CP	no GI	0.1035599316884877	no GI	Agree	0.5107933802177994	no GI	no GI
SLFN11_SLFN13	A375	2CP	no GI	0.1035599316884877	no GI	Agree	0.5107933802177994	no GI	no GI
SLFN12_SLFN5	A375	2CP	no GI	0.2543574029811385	GI	Disagree	0.5166969211866352	no GI	no GI
SLFN12_SLFN5	A375	2CP	no GI	0.2543574029811385	GI	Disagree	0.5166969211866352	no GI	no GI
SLK_STK10	A375	2CP	no GI	0.0707445713031729	no GI	Agree	-0.0314439633601512	no GI	no GI
SLK_STK10	A375	2CP	no GI	0.0707445713031729	no GI	Agree	-0.0314439633601512	no GI	no GI
SMAD1_SMAD5	A375	2CP	no GI	0.2789130352183718	no GI	Agree	0.3767659429949528	no GI	no GI
SMAD1_SMAD5	A375	2CP	no GI	0.2789130352183718	no GI	Agree	0.3767659429949528	no GI	no GI
SMAD2_SMAD3	A375	2CP	no GI	0.0081615488599575	no GI	Agree	-0.0107315871377788	no GI	no GI
SMAD2_SMAD3	A375	2CP	no GI	0.0081615488599575	no GI	Agree	-0.0107315871377788	no GI	no GI
SMAD6_SMAD7	A375	2CP	no GI	0.0961497501107359	no GI	Agree	0.3349828244003362	no GI	no GI
SMAD6_SMAD7	A375	2CP	no GI	0.0961497501107359	no GI	Agree	0.3349828244003362	no GI	no GI
SMAP1_SMAP2	A375	2CP	no GI	-0.0236239073483953	no GI	Agree	0.2775407280602746	no GI	GI
SMAP1_SMAP2	A375	2CP	no GI	-0.0236239073483953	no GI	Agree	0.2775407280602746	no GI	GI
SMARCA1_SMARCA5	A375	2CP	no GI	-0.0962161601459652	no GI	Agree	0.0530613795450834	no GI	no GI
SMARCA1_SMARCA5	A375	2CP	no GI	-0.0962161601459652	no GI	Agree	0.0530613795450834	no GI	no GI
SMARCA2_SMARCA4	A375	2CP	no GI	-0.1903776753841962	no GI	Agree	0.1378555364844285	no GI	no GI
SMARCA2_SMARCA4	A375	2CP	no GI	-0.1903776753841962	no GI	Agree	0.1378555364844285	no GI	no GI
SMARCC1_SMARCC2	A375	2CP	no GI	0.1345273716550517	no GI	Agree	0.5413438437146364	no GI	GI
SMARCC1_SMARCC2	A375	2CP	no GI	0.1345273716550517	no GI	Agree	0.5413438437146364	no GI	GI
SMARCD1_SMARCD2	A375	2CP	no GI	0.0215476374790174	no GI	Agree	0.3223629990917606	no GI	GI
SMARCD1_SMARCD2	A375	2CP	no GI	0.0215476374790174	no GI	Agree	0.3223629990917606	no GI	GI
SMARCD1_SMARCD3	A375	2CP	no GI	0.0152805485745154	no GI	Agree	0.1255183088480276	no GI	GI
SMARCD1_SMARCD3	A375	2CP	no GI	0.0152805485745154	no GI	Agree	0.1255183088480276	no GI	GI
SMARCD2_SMARCD3	A375	2CP	no GI	0.1274706606803948	no GI	Agree	-0.1206254056854526	no GI	no GI
SMARCD2_SMARCD3	A375	2CP	no GI	0.1274706606803948	no GI	Agree	-0.1206254056854526	no GI	no GI
SMURF1_SMURF2	A375	2CP	no GI	0.123612907461479	no GI	Agree	0.4052501784259462	no GI	GI
SMURF1_SMURF2	A375	2CP	no GI	0.123612907461479	no GI	Agree	0.4052501784259462	no GI	GI
SNCA_SNCG	A375	2CP	no GI	0.0114584966269573	no GI	Agree	-0.006618519605033	no GI	no GI
SNCA_SNCG	A375	2CP	no GI	0.0114584966269573	no GI	Agree	-0.006618519605033	no GI	no GI
SNRNP35_SNRNP70	A375	2CP	no GI	0.0916017384699983	no GI	Agree	0.3093701080326231	no GI	no GI
SNRNP35_SNRNP70	A375	2CP	no GI	0.0916017384699983	no GI	Agree	0.3093701080326231	no GI	no GI
SNRPA_SNRPB2	A375	2CP	GI	0.0517761336409958	no GI	Disagree	0.1929001492095543	no GI	no GI
SNRPA_SNRPB2	A375	2CP	GI	0.0517761336409958	no GI	Disagree	0.1929001492095543	no GI	no GI
SNRPB_SNRPN	A375	2CP	no GI	-0.0089875454688985	no GI	Agree	0.0281721301491332	no GI	no GI
SNRPB_SNRPN	A375	2CP	no GI	-0.0089875454688985	no GI	Agree	0.0281721301491332	no GI	no GI
SNTA1_SNTB1	A375	2CP	no GI	-0.0780376724047171	no GI	Agree	-0.1268199860115074	no GI	no GI
SNTA1_SNTB1	A375	2CP	no GI	-0.0780376724047171	no GI	Agree	-0.1268199860115074	no GI	no GI
SNTA1_SNTB2	A375	2CP	no GI	0.0728817348120793	no GI	Agree	0.371759659578717	no GI	GI
SNTA1_SNTB2	A375	2CP	no GI	0.0728817348120793	no GI	Agree	0.371759659578717	no GI	GI
SNTB1_SNTB2	A375	2CP	no GI	0.0254338241297994	no GI	Agree	-0.0454172040723716	no GI	GI
SNTB1_SNTB2	A375	2CP	no GI	0.0254338241297994	no GI	Agree	-0.0454172040723716	no GI	GI
SNX10_SNX11	A375	2CP	no GI	0.1383230859769949	no GI	Agree	0.1506249153101291	no GI	no GI
SNX10_SNX11	A375	2CP	no GI	0.1383230859769949	no GI	Agree	0.1506249153101291	no GI	no GI
SNX12_SNX3	A375	2CP	no GI	0.0316534317687588	no GI	Agree	0.3802991109932309	no GI	GI
SNX12_SNX3	A375	2CP	no GI	0.0316534317687588	no GI	Agree	0.3802991109932309	no GI	GI
SNX18_SNX33	A375	2CP	no GI	0.0487669677319964	no GI	Agree	0.2842044645854462	no GI	GI
SNX18_SNX33	A375	2CP	no GI	0.0487669677319964	no GI	Agree	0.2842044645854462	no GI	GI
SNX18_SNX9	A375	2CP	no GI	0.1002993334738273	no GI	Agree	0.2893796549817176	no GI	GI
SNX18_SNX9	A375	2CP	no GI	0.1002993334738273	no GI	Agree	0.2893796549817176	no GI	GI
SNX1_SNX2	A375	2CP	no GI	0.1058085739741513	no GI	Agree	0.349374279601938	no GI	no GI
SNX1_SNX2	A375	2CP	no GI	0.1058085739741513	no GI	Agree	0.349374279601938	no GI	no GI
SNX30_SNX7	A375	2CP	no GI	0.119592673109801	no GI	Agree	0.1672341751480568	no GI	no GI
SNX30_SNX7	A375	2CP	no GI	0.119592673109801	no GI	Agree	0.1672341751480568	no GI	no GI
SNX33_SNX9	A375	2CP	no GI	0.0678725573918739	no GI	Agree	0.5982881117955527	no GI	GI
SNX33_SNX9	A375	2CP	no GI	0.0678725573918739	no GI	Agree	0.5982881117955527	no GI	GI
SNX5_SNX6	A375	2CP	no GI	0.0820068102249142	no GI	Agree	0.0605710413759512	no GI	no GI
SNX5_SNX6	A375	2CP	no GI	0.0820068102249142	no GI	Agree	0.0605710413759512	no GI	no GI
SOCS4_SOCS5	A375	2CP	no GI	-0.0231310133696749	no GI	Agree	0.2104867541651927	no GI	no GI
SOCS4_SOCS5	A375	2CP	no GI	-0.0231310133696749	no GI	Agree	0.2104867541651927	no GI	no GI
SOS1_SOS2	A375	2CP	no GI	0.1754275199228797	no GI	Agree	0.4971853336926537	no GI	GI
SOS1_SOS2	A375	2CP	no GI	0.1754275199228797	no GI	Agree	0.4971853336926537	no GI	GI
SOX12_SOX4	A375	2CP	no GI	0.252881472382393	GI	Disagree	0.161933380614169	no GI	no GI
SOX12_SOX4	A375	2CP	no GI	0.252881472382393	GI	Disagree	0.161933380614169	no GI	no GI
SP100_SP110	A375	2CP	no GI	0.0723449161483709	no GI	Agree	0.6961814376727053	GI	no GI
SP100_SP110	A375	2CP	no GI	0.0723449161483709	no GI	Agree	0.6961814376727053	GI	no GI
SP100_SP140L	A375	2CP	GI	0.0559106713124805	no GI	Disagree	0.7624971112604519	GI	no GI
