	cell_line	condition	Gene_combination	combinatorial_avg_lfc	single_gene1_avg_lfc	single_gene2_avg_lfc	expression_gene1_batch_correct	expression_gene2_batch_correct	Class_label
6547	Meljuso	2CP sel	RMND5A_RMND5B	-2.0411085186281355	-0.061744500826765414	-0.7862374475533946	2.4693737904	4.3025210392	no GI
6548	Meljuso	2CP sel	RNF114_RNF138	-0.03759455130635048	-0.24949582449055852	-0.5744785337245084	6.0128278069	4.6829811747	no GI
6549	Meljuso	2CP sel	RNF114_RNF166	0.020208624404786324	-0.24949582449055852	0.5387503129833626	6.0128278069	3.5627704073	no GI
6550	Meljuso	2CP sel	RNF130_RNF149	-0.6097696105322346	-0.2942849989378209	-0.8293992667956436	7.0895565167	3.9241581453	no GI
6551	Meljuso	2CP sel	RNF138_RNF166	-0.43983911981751733	-0.5744785337245084	0.5387503129833626	4.6829811747	3.5627704073	no GI
6552	Meljuso	2CP sel	RNF13_RNF167	0.40261106490257226	0.5636221630368603	-0.4778811192051837	5.3336831104	6.3394098365	no GI
6553	Meljuso	2CP sel	RNF185_RNF5	0.24208322817074812	0.27250106906953975	-0.04786761918759974	4.7111921021	5.8190336078	no GI
6554	Meljuso	2CP sel	RNF19A_RNF19B	-1.9604009974022132	0.21403009471120038	0.02379393775388694	3.7306654389	3.3886887666	GI
6555	Meljuso	2CP sel	RNF20_RNF40	-1.1075633253273787	-1.5896773879841313	-0.5751972014016442	4.1095914115	5.5211557301	no GI
6556	Meljuso	2CP sel	RNF38_RNF44	-0.1171600583334984	-0.27353548079006695	0.09134827629323095	2.5342493294	3.2416646814	no GI
6557	Meljuso	2CP sel	RNPEP_RNPEPL1	-0.04316776934950628	-0.2544986028206211	0.7150007619904328	5.440006234	4.1773253791	no GI
6558	Meljuso	2CP sel	ROBO1_ROBO3	-0.6397909565974844	-1.273855306878376	-0.19894177784706213	5.0606303032	3.4511366004	no GI
6559	Meljuso	2CP sel	ROCK1_ROCK2	-1.7571014569750032	0.5268777017814938	0.04465631866064812	3.6257109274	4.1050154792	GI
6560	Meljuso	2CP sel	RPL22_RPL22L1	0.4118554430493604	4.304678673310981	-0.5555800732033209	9.1306295757	7.2882116828	GI
6561	Meljuso	2CP sel	RPL26_RPL26L1	-4.562150067852196	-3.8359132998854157	-0.8744958237819176	11.4126607179	7.6898539556	no GI
6562	Meljuso	2CP sel	RPL39_RPL39L	-3.6160431868914515	-4.524868994512122	-0.4270666241861263	11.6646023564	6.8769965921	no GI
6563	Meljuso	2CP sel	RPL7_RPL7L1	-4.890764950920527	-5.089185945697593	-3.1192755734116955	10.8310619932	6.5338034753	lol
6564	Meljuso	2CP sel	RPLP1_RPLP2	-2.6546917337487494	-2.6301591965345263	-2.4474560161010768	10.741057613	11.3054545379	GI
6565	Meljuso	2CP sel	RPP25_RPP25L	-0.37095791484317453	-0.20138420775246835	0.29067103985172715	4.8739352809	4.5588412725	no GI
6566	Meljuso	2CP sel	RPRD1A_RPRD1B	-1.8674030142014055	-0.31941567087604694	-2.2571039758659985	4.0244462638	4.2999488705	no GI
6567	Meljuso	2CP sel	RPS27A_UBA52	-3.8738020024706095	-4.0448118527678645	-0.9768252744064161	10.1196821013	10.517331752	no GI
6568	Meljuso	2CP sel	RPS27_RPS27L	-1.8773272538774464	-0.7301724116404458	-0.3256602607300143	11.8938483396	8.4098290767	no GI
6569	Meljuso	2CP sel	RPS4X_RPS4Y1	-3.9849772627111273	-4.443196422741644	0.38084559504329296	11.1325080941	0.7001256184	no GI
6570	Meljuso	2CP sel	RPS6KA1_RPS6KA2	-0.2986314451984453	-0.45027655706926617	-0.6401488848765853	4.4316892558	4.93537854	no GI
6571	Meljuso	2CP sel	RPS6KA1_RPS6KA3	-0.9694334956623989	-0.45027655706926617	-0.4095941912028196	4.4316892558	4.0849207156	no GI
6572	Meljuso	2CP sel	RPS6KA2_RPS6KA3	-0.5338047827625285	-0.6401488848765853	-0.4095941912028196	4.93537854	4.0849207156	no GI
6573	Meljuso	2CP sel	RPS6KA4_RPS6KA5	-0.23881842167869838	0.1854747307755238	-0.4744235264412666	4.7927759973	3.2582387949	no GI
6574	Meljuso	2CP sel	RPS6KB1_RPS6KB2	-2.6171522976601667	-2.3019239059605177	-1.2708060825360203	4.7523711914	4.7426997676	no GI
6575	Meljuso	2CP sel	RRAGA_RRAGB	-0.6063875571387918	-0.9428097921201943	-0.15662294107033725	5.2879657837	2.2461252899	no GI
6576	Meljuso	2CP sel	RRAGC_RRAGD	-0.1519574848488794	-0.12939581747616846	0.3817853086632983	4.4481976285	4.455182811	no GI
6577	Meljuso	2CP sel	RRAS_RRAS2	0.015912718233806578	0.6516946004320676	0.5350507421801574	4.4351394441	3.0584940101	GI
6578	Meljuso	2CP sel	RRM2_RRM2B	-3.435978743444413	-4.602695441621922	-0.6607372491357169	7.5731596282	3.8152344531	GI
6579	Meljuso	2CP sel	RRP1_RRP1B	-2.113385187225825	-4.129374652899731	-0.23943231602687165	5.3113065015	4.3589861353	GI
6580	Meljuso	2CP sel	RSBN1_RSBN1L	0.7523828570794335	0.3818212050987764	0.864731320287937	1.9166948783	2.6304153261	no GI
